dialogue,sentiment,
I have a bad feeling about this.,Negative,
I love you. I know.,Positive,
"I'm sorry, Dave. I'm afraid I can't do that.",Negative,
May the Force be with you.,Positive,
Why so serious?,Neutral,
I'm the king of the world!,Positive,
"Here's looking at you, kid.",Neutral,
"Frankly, my dear, I don't give a damn.",Negative,
"Elementary, my dear Watson.",Neutral,
You can't handle the truth!,Negative,
It's not your fault.,Positive,
I'll be back.,Neutral,
You had me at hello.,Positive,
"Keep your friends close, but your enemies closer.",Neutral,
Just keep swimming.,Positive,
I see dead people.,Negative,
There's no place like home.,Positive,
"I'll never let go, Jack.",Positive,
I am Groot.,Neutral,
Say 'hello' to my little friend!,Positive,
ET phone home.,Neutral,
Life is like a box of chocolates.,Neutral,
I am your father.,Neutral,
To infinity and beyond!,Positive,
I feel the need... the need for speed.,Positive,
Nobody puts Baby in a corner.,Negative,
You talking to me?,Neutral,
Here's Johnny!,Neutral,
I'll have what she's having.,Positive,
"Just when I thought I was out, they pull me back in.",Negative,
I'm gonna make him an offer he can't refuse.,Positive,
I see you.,Neutral,
I have always depended on the kindness of strangers.,Neutral,
"I don't know what's wrong with me. I just feel so lost and alone, like I'm drowning in a sea of sadness. It's like every day is a struggle just to keep my head above water. I try to put on a brave face and pretend like everything's okay, but deep down, I'm hurting. I wish I could just escape from it all, but I don't know how.",Negative,
"Life is full of ups and downs, but no matter how hard it gets, I refuse to give up. I've faced challenges before and I've always come out stronger on the other side. I believe in myself and my ability to overcome anything that comes my way.",Positive,
"Sometimes it feels like the weight of the world is on my shoulders. I'm constantly worrying about the future and what it holds. Will I ever achieve my dreams? Will I find happiness? It's exhausting, this constant battle with uncertainty. But I refuse to let it break me. I'll keep pushing forward, one step at a time.",Negative,
"Life is a journey, and sometimes we get lost along the way. But that's okay, because it's all part of the adventure. We learn and grow from our experiences, even the difficult ones. And no matter how dark things may seem, there's always a glimmer of hope shining through.",Positive,
"I've made mistakes in the past, things I'm not proud of. But I've learned from them and I'm determined to do better. I refuse to let my past define me. I'm stronger now, wiser. And I won't let anything hold me back from reaching my full potential.",Positive,
"Life can be overwhelming at times, like you're trapped in a never-ending cycle of stress and anxiety. But it's important to remember that you're not alone. Reach out to those who care about you, lean on them for support. Together, we can weather any storm.",Positive,
"I've been betrayed by people I trusted, hurt by those I loved. It's left me feeling broken and alone, like I'll never be whole again. But I refuse to let bitterness consume me. I choose to forgive, not for their sake, but for mine. I won't let their actions define who I am.",Negative,
"Life is unpredictable, full of twists and turns we never saw coming. But that's what makes it exciting, the unexpected moments that take our breath away. Embrace the chaos, dance in the rain, and never lose sight of the beauty that surrounds you.",Positive,
