story,characters,genre,tone
"Outside the wall, at the part of the grounds farthest from the public road, were a horse and a light wagon, waiting.  The work of excavation was not difficult: the earth with which the grave had been loosely filled a few hours before offered little resistance and was soon thrown out. Removal of the casket from its box was less easy, but it was taken out, for it was a perquisite of Jess, who carefully unscrewed the cover and laid it aside, exposing the body in black trousers and white shirt. At that instant the air sprang to flame, a cracking shock of thunder shook the stunned world and Henry Armstrong tranquilly sat up. With inarticulate cries the men fled in terror, each in a different direction. For nothing on earth could two of them have been persuaded to return. But Jess was of another breed.  In the grey of the morning the two students, pallid and haggard from anxiety and with the terror of their adventure still beating tumultuously in their blood, met at the medical college.  'You saw it?' cried one.  'God! yes -- what are we to do?'  They went around to the rear of the building, where they saw a horse, attached to a light wagon, hitched to a gatepost near the door of the dissecting-room. Mechanically they entered the room. On a bench in the obscurity sat the negro Jess. He rose, grinning, all eyes and teeth.  'I'm waiting for my pay,' he said.  Stretched naked on a long table lay the body of Henry Armstrong, the head defiled with blood and clay from a blow with a spade.","Jess, Henry Armstrong, Student 1, Student 2",horror,suspenseful
"The young woman's glance fell upon them with a distant, swift disinterest; then with a lovely smile brightening her countenance and a tender pink tingeing her rounded cheeks, she held out a little gray-gloved hand. When she spoke her voice, full, sweet, and deliberate, proclaimed that its owner was accustomed to speak and be heard.  ""Well, Mr. Easton, if you will make me speak first, I suppose I must. Don't you ever recognize old friends when you meet them in the West?""  The younger man roused himself sharply at the sound of her voice, seemed to struggle with a slight embarrassment which he threw off instantly, and then clasped her fingers with his left hand.  ""It's Miss Fairchild,"" he said, with a smile. ""I'll ask you to excuse the other hand; ""it's otherwise engaged just at present.""  He slightly raised his right hand, bound at the wrist by the shining ""bracelet"" to the left one of his companion. The glad look in the girl's eyes slowly changed to a bewildered horror. The glow faded from her cheeks. Her lips parted in a vague, relaxing distress. Easton, with a little laugh, as if amused, was about to speak again when the other forestalled him. The glum-faced man had been watching the girl's countenance with veiled glances from his keen, shrewd eyes.  ""You'll excuse me for speaking, miss, but, I see you're acquainted with the marshal here. If you'll ask him to speak a word for me when we get to the pen he'll do it, and it'll make things easier for me there. He's taking me to Leavenworth prison. It's seven years for counterfeiting.""  ""Oh!"" said the girl, with a deep breath and returning color. ""So that is what you are doing out here? A marshal!""","Miss Fairchild, Mr. Easton, Glum-faced man",romance,romantic
"The children were at play in their play-ground one day, when a herald rode through the town, blowing a trumpet, and crying aloud, ""The King! the King passes by this road to-day. Make ready for the King!"" The children stopped their play, and looked at one another.  ""Did you hear that?"" they said. ""The King is coming. He may look over the wall and see our playground; who knows? We must put it in order.""  The playground was sadly dirty, and in the corners were scraps of paper and broken toys, for these were careless children. But now, one brought a hoe, and another a rake, and a third ran to fetch the wheelbarrow from behind the garden gate. They labored hard, till at length all was clean and tidy.  ""Now it is clean!"" they said; ""but we must make it pretty, too, for kings are used to fine things; maybe he would not notice mere cleanness, for he may have it all the time.""  Then one brought sweet rushes and strewed them on the ground; and others made garlands of oak leaves and pine tassels and hung them on the walls; and the littlest one pulled marigold buds and threw them all about the playground, ""to look like gold,"" he said.  When all was done the playground was so beautiful that the children stood and looked at it, and clapped their hands with pleasure.  ""Let us keep it always like this!"" said the littlest one; and the others cried, ""Yes! yes! that is what we will do.""  They waited all day for the coming of the King, but he never came; only, towards sunset, a man with travel-worn clothes, and a kind, tired face passed along the road, and stopped to look over the wall.","Herald, Children, Man with travel-worn clothes",drama,optimistic
"Out of the drawer they took about ten little packages of yellow paper, tied with care and arranged one beside the other. They threw these relics on the bed and chose one of them on which the word ""Father"" was written. They opened and read it.  It was one of those old-fashioned letters which one finds in old family desk drawers, those epistles which smell of another century. The first one started: ""My dear,"" another one: ""My beautiful little girl,"" others: ""My dear child,"" or: ""My dear daughter."" And suddenly the nun began to read aloud, to read over to the dead woman her whole history, all her tender memories. The judge, resting his elbow on the bed, was listening with his eyes fastened on his mother. The motionless body seemed happy.  Sister Eulalie, interrupting herself, said suddenly:  ""These ought to be put in the grave with her; they ought to be used as a shroud and she ought to be buried in it."" She took another package, on which no name was written. She began to read in a firm voice: ""My adored one, I love you wildly. Since yesterday I have been suffering the tortures of the damned, haunted by our memory. I feel your lips against mine, your eyes in mine, your breast against mine. I love you, I love you! You have driven me mad. My arms open, I gasp, moved by a wild desire to hold you again. My whole soul and body cries out for you, wants you. I have kept in my mouth the taste of your kisses--""  The judge had straightened himself up. The nun stopped reading. He snatched the letter from her and looked for the signature. There was none, but only under the words, ""The man who adores you,"" the name ""Henry."" Their father's name was Rene. Therefore this was not from him. The son then quickly rummaged through the package of letters, took one out and read: ""I can no longer live without your caresses."" Standing erect, severe as when sitting on the bench, he looked unmoved at the dead woman. The nun, straight as a statue, tears trembling in the corners of her eyes, was watching her brother, waiting. Then he crossed the room slowly, went to the window and stood there, gazing out into the dark night.  When he turned around again Sister Eulalie, her eyes dry now, was still standing near the bed, her head bent down.","Sister Eulalie,  Judge, Dead woman, Henry",drama,serious
"Eleven o'clock had struck some half-hour ago, and the elder Steffinks began to throw out suggestions leading up to that process which they called retiring for the night.  ""Come, Teddie, it's time you were in your little bed, you know,"" said Luke Steffink to his thirteen-year-old son.  ""That's where we all ought to be,"" said Mrs. Steffink.  ""There wouldn't be room,"" said Bertie.  The remark was considered to border on the scandalous; everybody ate raisins and almonds with the nervous industry of sheep feeding during threatening weather.  ""In Russia,"" said Horace Bordenby, who was staying in the house as a Christmas guest, ""I've read that the peasants believe that if you go into a cow-house or stable at midnight on Christmas Eve you will hear the animals talk. They're supposed to have the gift of speech at that one moment of the year.""  ""Oh, do let's  all go down to the cow-house and listen to what they've got to say!"" exclaimed Beryl, to whom anything was thrilling and amusing if you did it in a troop.  Mrs. Steffink made a laughing protest, but gave a virtual consent by saying, ""We must all wrap up well, then."" The idea seemed a scatterbrained one to her, and almost heathenish, but if afforded an opportunity for ""throwing the young people together,"" and as such she welcomed it. Mr. Horace Bordenby was a young man with quite substantial prospects, and he had danced with Beryl at a local subscription ball a sufficient number of times to warrant the authorised inquiry on the part of the neighbours whether ""there was anything in it."" Though Mrs. Steffink would not have put it in so many words, she shared the idea of the Russian peasantry that on this night the beast might speak.","Luke Steffink, Mrs. Steffink, Bertie Steffink, Horace Bordenby, Beryl",fiction,humorous 
"The evening was at the period when reserve is thawed. One of us mentioned three Wurzburgers to the waiter; the dark-haired young man acknowledged his inclusion in the order by a smile and a nod. I hastened to ask him a question because I wanted to try out a theory I had.  ""Would you mind telling me,"" I began, ""whether you are from--""  The fist of E. Rushmore Coglan banged the table and I was jarred into silence.  ""Excuse me,"" said he, ""but that's a question I never like to hear asked. What does it matter where a man is from? Is it fair to judge a man by his post-office address? Why, I've seen Kentuckians who hated whiskey, Virginians who weren't descended from Pocahontas, Indianians who hadn't written a novel, Mexicans who didn't wear velvet trousers with silver dollars sewed along the seams, funny Englishmen, spendthrift Yankees, cold-blooded Southerners, narrow- minded Westerners, and New Yorkers who were too busy to stop for an hour on the street to watch a one-armed grocer's clerk do up cranberries in paper bags. Let a man be a man and don't handicap him with the label of any section.""  ""Pardon me,"" I said, ""but my curiosity was not altogether an idle one. I know the South, and when the band plays 'Dixie' I like to observe. I have formed the belief that the man who applauds that air with special violence and ostensible sectional loyalty is invariably a native of either Secaucus, N.J., or the district between Murray Hill Lyceum and the Harlem River, this city. I was about to put my opinion to the test by inquiring of this gentleman when you interrupted with your own--larger theory, I must confess.""  And now the dark-haired young man spoke to me, and it became evident that his mind also moved along its own set of grooves.  ""I should like to be a periwinkle,"" said he, mysteriously, ""on the top of a valley, and sing tooralloo-ralloo.""  This was clearly too obscure, so I turned again to Coglan.","Narrator, E. Rushmore Coglan, Dark-haired young man",fiction,humorous
"Josefa was standing in her tracks, quietly reloading her silver- mounted .38. It had not been a difficult shot. The lion's head made an easier mark than a tomato-can swinging at the end of a string. There was a provoking, teasing, maddening smile upon her mouth and in her dark eyes. The would-be-rescuing knight felt the fire of his fiasco burn down to his soul. Here had been his chance, the chance that he had dreamed of; and Momus, and not Cupid, had presided over it. The satyrs in the wood were, no doubt, holding their sides in hilarious, silent laughter. There had been something like vaudeville--say Signor Givens and his funny knockabout act with the stuffed lion.  ""Is that you, Mr. Givens?"" said Josefa, in her deliberate, saccharine contralto. ""You nearly spoilt my shot when you yelled. Did you hurt your head when you fell?""  ""Oh, no,"" said Givens, quietly; ""that didn't hurt."" He stooped ignominiously and dragged his best Stetson hat from under the beast. It was crushed and wrinkled to a fine comedy effect. Then he knelt down and softly stroked the fierce, open-jawed head of the dead lion.  ""Poor old Bill!"" he exclaimed mournfully.  ""What's that?"" asked Josefa, sharply.  ""Of course you didn't know, Miss Josefa,"" said Givens, with an air of one allowing magnanimity to triumph over grief. ""Nobody can blame you. I tried to save him, but I couldn't let you know in time.""  ""Save who?""  ""Why, Bill. I've been looking for him all day. You see, he's been our camp pet for two years. Poor old fellow, he wouldn't have hurt a cottontail rabbit. It'll break the boys all up when they hear about it. But you couldn't tell, of course, that Bill was just trying to play with you.""  Josefa's black eyes burned steadily upon him. Ripley Givens met the test successfully. He stood rumpling the yellow-brown curls on his head pensively. In his eye was regret, not unmingled with a gentle reproach. His smooth features were set to a pattern of indisputable sorrow. Josefa wavered.  ""What was your pet doing here?"" she asked, making a last stand. ""There's no camp near the White Horse Crossing.""  ""The old rascal ran away from camp yesterday,"" answered Givens readily. ","Josefa, Mr. Givens, Lion (Bill)",fiction,humorous 
"When Hughie came in he found Trevor putting the finishing touches to a wonderful life-size picture of a beggar-man. The beggar himself was standing on a raised platform in a corner of the studio. He was a wizened old man, with a face like wrinkled parchment, and a most piteous expression. Over his shoulders was flung a coarse brown cloak, all tears and tatters; his thick boots were patched and cobbled, and with one hand he leant on a rough stick, while with the other he held out his battered hat for alms.  'What an amazing model!' whispered Hughie, as he shook hands with his friend.  'An amazing model?' shouted Trevor at the top of his voice; 'I should think so! Such beggars as he are not to be met with every day. A trouvaille, mort cher; a living Velasquez! My stars! what an etching Rembrandt would have made of him!'  'Poor old chap! said Hughie, 'how miserable he looks! But I suppose, to you painters, his face is his fortune?'  'Certainly,' replied Trevor, 'you don't want a beggar to look happy, do you?'  'How much does a model get for sitting?' asked Hughie, as he found himself a comfortable seat on a divan.  'A shilling an hour.'  'And how much do you get for your picture, Alan?'  'Oh, for this I get two thousand!'  'Pounds?'  'Guineas. Painters, poets, and physicians always get guineas.'  'Well, I think the model should have a percentage,' cried Hughie, laughing; 'they work quite as hard as you do.'  'Nonsense, nonsense! Why, look at the trouble of laying on the paint alone, and standing all day long at one's easel! It's all very well, Hughie, for you to talk, but I assure you that there are moments when Art almost attains to the dignity of manual labour. But you mustn't chatter; I'm very busy. Smoke a cigarette, and keep quiet.'  After some time the servant came in, and told Trevor that the frame-maker wanted to speak to him.","Hughie, Trevor, Beggar-man, Servant, Frame-maker",comedy,humorous 
"He seemed unwilling to leave anything to the imagination of a casual observer, and his talk grew presently personal and introspective.  ""I don't know how it is,"" he told his friend, ""I'm not much over forty, but I seem to have settled down into a deep groove of elderly middle-age. My sister shows the same tendency. We like everything to be exactly in its accustomed place; we like things to happen exactly at their appointed times; we like everything to be usual, orderly, punctual, methodical, to a hair's breadth, to a minute. It distresses and upsets us if it is not so. For instance, to take a very trifling matter, a thrush has built its nest year after year in the catkin- tree on the lawn; this year, for no obvious reason, it is building in the ivy on the garden wall. We have said very little about it, but I think we both feel that the change is unnecessary, and just a little irritating.""  ""Perhaps,"" said the friend, ""it is a different thrush.""  ""We have suspected that,"" said J. P. Huddle, ""and I think it gives us even more cause for annoyance. We don't feel that we want a change of thrush at our time of life; and yet, as I have said, we have scarcely reached an age when these things should make themselves seriously felt.""  ""What you want,"" said the friend, ""is an Unrest-cure.""  ""An Unrest-cure? I've never heard of such a thing.""  ""You've heard of Rest-cures for people who've broken down under stress of too much worry and strenuous living; well, you're suffering from overmuch repose and placidity, and you need the opposite kind of treatment.""  ""But where would one go for such a thing?""  ""Well, you might stand as an Orange candidate for Kilkenny, or do a course of district visiting in one of the Apache quarters of Paris, or give lectures in Berlin to prove that most of Wagner's music was written by Gambetta; and there's always the interior of Morocco to travel in. But, to be really effective, the Unrest-cure ought to be tried in the home. How you would do it I haven't the faintest idea.""","J. P. Huddle, Friend",comedy,humorous 
"Filled with amazement and terror by this apparition of a horseman in the sky--half believing himself the chosen scribe of some new Apocalypse, the officer was overcome by the intensity of his emotions; his legs failed him and he fell. Almost at the same instant he heard a crashing sound in the trees--a sound that died without an echo--and all was still.  The officer rose to his feet, trembling. The familiar sensation of an abraded shin recalled his dazed faculties. Pulling himself together he ran rapidly obliquely away from the cliff to a point distant from its foot; thereabout he expected to find his man; and thereabout he naturally failed. In the fleeting instant of his vision his imagination had been so wrought upon by the apparent grace and ease and intention of the marvelous performance that it did not occur to him that the line of march of arial cavalry is directly downward, and that he could find the objects of his search at the very foot of the cliff. A half-hour later he returned to camp.  This officer was a wise man; he knew better than to tell an incredible truth. He said nothing of what he had seen. But when the commander asked him if in his scout he had learned anything of advantage to the expedition he answered:  ""Yes, sir; there is no road leading down into this valley from the southward.""  The commander, knowing better, smiled.  After firing his shot, Private Carter Druse reloaded his rifle and resumed his watch. Ten minutes had hardly passed when a Federal sergeant crept cautiously to him on hands and knees. Druse neither turned his head nor looked at him, but lay without motion or sign of recognition.  ""Did you fire?"" the sergeant whispered.  ""Yes.""  ""At what?""  ""A horse. It was standing on yonder rock--pretty far out. You see it is no longer there. It went over the cliff.""  The man's face was white, but he showed no other sign of emotion. Having answered, he turned away his eyes and said no more. The sergeant did not understand.  ""See here, Druse,"" he said, after a moment's silence, ""it's no use making a mystery. I order you to report. Was there anybody on the horse?""  ""Yes.""  ""Well?""  ""My father.""  The sergeant rose to his feet and walked away. ""Good God!"" he said.","Officer, commander, Private Carter Druse, Federal sergeant",drama,suspenseful
"That night the city wore the mask of a capital. The five young men strolled along Stephen's Green in a faint cloud of aromatic smoke. They talked loudly and gaily and their cloaks dangled from their shoulders. The people made way for them. At the corner of Grafton Street a short fat man was putting two handsome ladies on a car in charge of another fat man. The car drove off and the short fat man caught sight of the party.  ""Andre.""  ""It's Farley!""  A torrent of talk followed. Farley was an American. No one knew very well what the talk was about. Villona and Riviere were the noisiest, but all the men were excited. They got up on a car, squeezing themselves together amid much laughter. They drove by the crowd, blended now into soft colours, to a music of merry bells. They took the train at Westland Row and in a few seconds, as it seemed to Jimmy, they were walking out of Kingstown Station. The ticket-collector saluted Jimmy; he was an old man:  ""Fine night, sir!""  It was a serene summer night; the harbour lay like a darkened mirror at their feet. They proceeded towards it with linked arms, singing Cadet Roussel in chorus, stamping their feet at every:  ""Ho! Ho! Hohe, vraiment!""  They got into a rowboat at the slip and made out for the American's yacht. There was to be supper, music, cards. Villona said with conviction:  ""It is delightful!""  There was a yacht piano in the cabin. Villona played a waltz for Farley and Riviere, Farley acting as cavalier and Riviere as lady. Then an impromptu square dance, the men devising original figures. What merriment! Jimmy took his part with a will; this was seeing life, at least. Then Farley got out of breath and cried ""Stop!"" A man brought in a light supper, and the young men sat down to it for form's sake. They drank, however: it was Bohemian. They drank Ireland, England, France, Hungary, the United States of America. Jimmy made a speech, a long speech, Villona saying: ""Hear! hear!"" whenever there was a pause. There was a great clapping of hands when he sat down. It must have been a good speech. Farley clapped him on the back and laughed loudly. What jovial fellows! What good company they were!","Five young men, Farley, Villona, Riviere, Jimmy",fiction,optimistic
"Picture followed picture against the grey background. Now Nellie saw herself one winter night knocking at the door of Stepan Lukitch, the district doctor. The old dog hoarsely and lazily barked behind the gate. The doctor's windows were in darkness. All was silence.  ""For God's sake, for God's sake!"" whispered Nellie.  But at last the garden gate creaked and Nellie saw the doctor's cook.  ""Is the doctor at home?""  ""His honour's asleep,"" whispered the cook into her sleeve, as though afraid of waking her master.  ""He's only just got home from his fever patients, and gave orders he was not to be waked.""  But Nellie scarcely heard the cook. Thrusting her aside, she rushed headlong into the doctor's house. Running through some dark and stuffy rooms, upsetting two or three chairs, she at last reached the doctor's bedroom. Stepan Lukitch was lying on his bed, dressed, but without his coat, and with pouting lips was breathing into his open hand. A little night-light glimmered faintly beside him. Without uttering a word Nellie sat down and began to cry. She wept bitterly, shaking all over.  ""My husband is ill!"" she sobbed out. Stepan Lukitch was silent. He slowly sat up, propped his head on his hand, and looked at his visitor with fixed, sleepy eyes. ""My husband is ill!"" Nellie continued, restraining her sobs. ""For mercy's sake come quickly. Make haste. . . . Make haste!""  ""Eh?"" growled the doctor, blowing into his hand.  ""Come! Come this very minute! Or . . . it's terrible to think! For mercy's sake!""  And pale, exhausted Nellie, gasping and swallowing her tears, began describing to the doctor her husband's illness, her unutterable terror. Her sufferings would have touched the heart of a stone, but the doctor looked at her, blew into his open hand, and -- not a movement.","Nellie, Stepan Lukitch, Doctor's cook",drama,serious
"It was about dusk, one evening during the supreme madness of the carnival season, that I encountered my friend. He accosted me with excessive warmth, for he had been drinking much. The man wore motley. He had on a tight-fitting parti-striped dress, and his head was surmounted by the conical cap and bells. I was so pleased to see him that I thought I should never have done wringing his hand.  I said to him --""My dear Fortunato, you are luckily met. How remarkably well you are looking to-day. But I have received a pipe of what passes for Amontillado, and I have my doubts.""  ""How?"" said he. ""Amontillado, A pipe? Impossible! And in the middle of the carnival!""  ""I have my doubts,"" I replied; ""and I was silly enough to pay the full Amontillado price without consulting you in the matter. You were not to be found, and I was fearful of losing a bargain.""  ""Amontillado!""  ""I have my doubts.""  ""Amontillado!""  ""And I must satisfy them.""  ""Amontillado!""  ""As you are engaged, I am on my way to Luchresi. If any one has a critical turn it is he. He will tell me --""  ""Luchresi cannot tell Amontillado from Sherry.""  ""And yet some fools will have it that his taste is a match for your own.  ""Come, let us go.""  ""Whither?""  ""To your vaults.""  ""My friend, no; I will not impose upon your good nature. I perceive you have an engagement. Luchresi--""  ""I have no engagement; --come.""  ""My friend, no. It is not the engagement, but the severe cold with which I perceive you are afflicted. The vaults are insufferably damp. They are encrusted with nitre.""  ""Let us go, nevertheless. The cold is merely nothing. Amontillado! You have been imposed upon. And as for Luchresi, he cannot distinguish Sherry from Amontillado.""  Thus speaking, Fortunato possessed himself of my arm; and putting on a mask of black silk and drawing a roquelaire closely about my person, I suffered him to hurry me to my palazzo.","Narrator, Fortunato, Luchresi",horror,mysterious
